STATE,CITY,DAY,MONTH,HARM_EV,MAN_COLL,TYP_INT,WRK_ZONE,LGT_COND,WEATHER1,WEATHER2,WEATHER,CF1,CF2,CF3,FATALS,DRUNK_DR
1,2380,27,2,42,0,1,0,1,10,0,10,0,0,0,1,1
1,0,1,3,30,0,1,0,1,1,0,1,0,0,0,1,1
1,0,4,3,42,0,1,0,2,1,0,1,0,0,0,1,1
1,0,6,3,12,6,2,0,1,10,0,10,0,0,0,1,0
1,0,8,3,12,2,3,0,1,1,0,1,0,0,0,1,1
1,1850,9,3,8,0,1,0,4,1,0,1,0,0,0,1,0
1,2130,10,3,12,98,3,0,3,10,0,10,0,0,0,1,0
1,350,13,3,8,0,1,0,3,1,0,1,0,0,0,1,0
1,0,15,3,55,6,1,0,1,1,0,1,0,0,0,1,0
1,0,15,3,12,2,1,0,1,1,0,1,0,0,0,2,1
1,0,15,3,58,0,1,0,1,1,0,1,0,0,0,1,0
1,2800,16,3,35,0,1,0,2,1,0,1,0,0,0,1,1
1,0,16,3,59,0,1,0,1,1,0,1,0,0,0,1,1
1,0,17,3,8,0,2,0,2,10,0,10,0,0,0,1,0
1,0,17,3,12,6,3,0,1,1,0,1,0,0,0,1,0
1,0,17,3,42,0,1,0,1,1,0,1,0,0,0,1,1
1,0,17,3,35,0,1,0,1,10,0,10,0,0,0,1,0
1,0,18,3,34,0,1,0,1,1,0,1,0,0,0,1,0
1,0,18,3,12,6,2,0,1,1,0,1,0,0,0,1,0
1,0,18,3,35,0,1,0,1,10,0,10,20,0,0,1,0
1,505,20,3,1,0,1,0,1,10,0,10,0,0,0,1,0
1,0,21,3,32,0,1,0,1,10,0,10,0,0,0,1,0
1,0,21,3,38,0,1,0,1,1,0,1,0,0,0,1,0
1,0,21,3,12,2,1,0,1,1,0,1,0,0,0,1,0
1,3060,22,3,12,6,2,0,1,1,0,1,0,0,0,1,0
1,0,23,3,42,0,1,0,2,1,0,1,0,0,0,1,1
1,0,23,3,59,0,1,0,1,10,0,10,0,0,0,1,0
1,2130,24,3,12,6,2,0,1,1,0,1,0,0,0,3,0
1,0,25,3,9,0,1,0,1,1,0,1,0,0,0,1,1
1,0,25,3,42,0,1,0,2,1,0,1,0,0,0,1,1
1,2130,26,3,58,0,3,0,2,10,0,10,0,0,0,1,0
1,1730,26,3,8,0,3,0,2,10,0,10,0,0,0,1,0
1,2100,27,3,12,2,1,0,2,10,0,10,0,0,0,2,0
1,0,27,3,42,0,1,0,1,1,0,1,0,0,0,1,0
1,1200,27,3,42,0,1,0,2,10,0,10,0,0,0,1,0
1,140,28,3,12,6,3,0,1,1,0,1,0,0,0,1,0
1,0,28,3,53,0,1,0,2,10,0,10,0,0,0,1,0
1,2170,28,3,12,6,1,0,1,1,0,1,0,0,0,1,0
1,0,29,3,42,0,1,0,1,2,0,2,0,0,0,1,0
1,2910,29,3,12,7,3,0,3,2,0,2,0,0,0,1,1
1,2130,30,3,12,6,2,0,3,1,0,1,0,0,0,1,0
1,330,30,3,14,0,1,0,1,1,0,1,0,0,0,1,0
1,350,31,3,8,0,3,0,1,1,0,1,0,0,0,1,1
1,0,1,4,12,6,1,0,1,1,0,1,0,0,0,1,0
1,2940,2,4,38,0,1,0,2,1,0,1,0,0,0,1,0
1,0,8,4,1,0,1,0,2,1,0,1,0,0,0,1,1
1,0,5,4,34,0,1,1,1,1,0,1,0,0,0,1,0
1,0,8,4,1,0,1,0,1,1,0,1,0,0,0,1,0
1,0,11,4,12,6,1,0,2,1,0,1,0,0,0,2,0
1,0,14,4,24,0,1,0,2,10,0,10,0,0,0,1,0
1,0,14,4,12,1,1,0,3,2,0,2,19,0,0,1,0
1,670,15,4,42,0,1,1,4,10,0,10,0,0,0,2,0
1,0,16,4,1,0,1,0,1,1,0,1,0,0,0,1,0
1,700,20,4,34,0,1,1,1,1,0,1,0,0,0,1,0
1,0,21,4,12,1,1,0,2,10,0,10,0,0,0,1,0
1,2136,11,1,12,2,1,0,1,2,0,2,0,0,0,1,0
